"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Раствор для инъекций бесцветный, прозрачный."
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"Капли глазные и интраназальные бесцветные, прозрачные."
"АУРИЗОН (AURIZON®) суспензия";"Суспензия для аурикулярного применения от светло-бежевого до бледно-желтого цвета, маслянистая, однородная (допускается расслоение суспензии, исчезающее при встряхивании флакона)."
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"Раствор для инъекций прозрачный, от зелено-желтого до желтого цвета."
"СИЛЕО® (SILEO®)";"Гель для введения через слизистую оболочку ротовой полости в виде прозрачной, однородной массы зеленого цвета, без пузырьков воздуха."
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"Раствор для инъекций прозрачный, бесцветный."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"Раствор для инъекций прозрачный, бесцветный."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"Раствор для инъекций прозрачный, бесцветный."
"МЕТРИЦЕФ (METRICEFUM) суспензия";"Суспензия для внутриматочного введения от белого до светло-желтого цвета."
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"Порошок для орального применения от белого до светло-кремового цвета, растворимый в воде."
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"Раствор для инъекций прозрачный, от бесцветного до желтого цвета."
"МАСТИМАКС (MASTIMAX)";"Суспензия для интрацистернального введения от желтого до коричневого цвета."
"МАСТИЗИМ (MASTIZINUM)";"Суспензия для интрацистернального введения от белого до желтого цвета."
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"Суспензия для инъекций в виде жидкости от белого до желтого цвета, расслаивающейся при хранении с образованием однородного осадка, разбивающегося при встряхивании в однородную взвесь."
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"Раствор для инъекций в виде прозрачной жидкости от светло-желтого до желтого цвета, без механических включений."
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"Раствор для инъекций в виде прозрачной жидкости от бесцветного до светло-желтого цвета, без механических включений."
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"Раствор для инъекций в виде жидкости от желтого до коричневого цвета; в процессе хранения допускается образование небольшого количества осадка, растворяющегося при встряхивании."
"ОФЛОСТИН (OFLOSTINUM)";"Раствор для орального применения в виде прозрачной жидкости от светло-желтого до светло-коричневого цвета."
"КЕНОСЕПТ-Г (KENOSEPT-G)";"Средство дезинфицирующее в виде прозрачного геля голубого цвета со спиртовым запахом."
"ТОРНАКС-С (TORNAX-S)";"Средство чистящее в виде прозрачной жидкости янтарного цвета со специфическим запахом, с высоким пенообразованием; хорошо растворяется в воде в любом соотношении с образованием прозрачного раствора."
"ЭКО-ДЕЗ (ECO-DES)";"Средство дезинфицирующее в виде жидкости белого цвета с нейтральным запахом; легко смешивается с водой в любых соотношениях."
"ВИРОЦИД (VIROCID)";"Средство дезинфицирующее в виде прозрачной жидкости коричневого цвета со слабым специфическим запахом; легко смешивается с водой в любых соотношениях."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг";"Таблетки для перорального применения (для котят и маленьких кошек), от бежевого до коричневого цвета, овальной формы, с оттиском ""BC"" на одной стороне и оттиском ""NA"" на другой стороне, с линией разлома с обеих сторон."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 16+40 мг";"Таблетки для перорального применения (для крупных кошек), от красного до красно-коричневого цвета, овальной формы, с оттиском ""КК"" на одной стороне и оттиском ""NA"" на другой стороне, с линией разлома с обеих сторон."
